"PFAll(上が冬季,下が夏季)",PDINVCDP1,Kp,Ti,PDINVCDP2,,,PDINVCDP3,,,PDINVCDP4,,,PFVlvCP2, ,,PFINVCP2,,,PFINVCP1,,,PFINVNP,,,PFINVSCP1,,,PFINVSCP2,,,PFINVSCP3,,,PFINVSCP4,,,PFVlvCh1CHEX,,,PFVlvSCP4,,,PFVlvChAHU,,,PFVlvHtAHU,,,PFINVSHP1,,,PFINVSHP2,,,PFVlvSHP2,,,PFVlvHt1HHEX,,,PFVlvHP1,,,PFINVHP1,,,PFVlvCT,,
10007,37.032,0.038,32,0,0.035,73,30.599,0.027,45,0,0.019,360,0,0.039,432,4706.9,0.095,265,0,0.013,336,155.66,0.056,446,0,0.006,364,0,0.045,163,15.938,0.056,109,0,0.1,106,0,0.002,17,0,0.023,364,4313.4,0.04,362,187.6,0.004,324,33.473,0.062,492,1.1489,0.083,241,109.81,0.049,489,0,0.057,273,0,0.065,332,154.13,0.061,361,261.07,0.009,297
11501,21.02,0.083,254,0,0.05,50,39.793,0.063,34,0,0.089,221,0,0.008,115,690.61,0.002,146,0,0.053,188,407.31,0.01,246,0,0.035,394,0,0.033,8,22.462,0.031,390,3.3322,0.05,415,0,0.015,143,674.97,0.077,13,415.32,0.057,246,176.43,0.02,404,7013.7,0.004,442,1701.8,0.007,435,14.993,0.02,166,0,0.004,74,0,0.06,261,214.53,0.023,261,104.91,0.05,429
11653,1415.1,0.09,303,0,0.001,427,35.142,0.001,377,0,0.041,474,0,0.033,401,712.23,0.037,498,0,0.092,479,587.7,0.007,209,0,0.024,116,0,0.001,446,29.001,0.058,257,3.2144,0.047,496,0,0.003,9,582.44,0.057,254,937.22,0.029,238,4080.1,0.086,406,321.79,0.009,83,19.49,0.048,251,56.969,0.085,9,0,0.003,204,0,0.008,84,2831.8,0.018,291,40.442,0.082,357
7853.6,23.785,0.068,482,0,0.094,247,39.354,0.038,474,0,0.036,317,0,0.011,300,892.09,0.029,248,0,0.029,367,293.46,0.026,412,0,0.016,239,0,0.015,308,20.008,0.079,343,3.1011,0.029,308,0,0.098,138,794.97,0.043,405,2730.2,0.02,218,1293.6,0.038,133,38.607,0.002,271,0.18605,0.02,254,170.07,0.052,387,0,0.03,134,0,0.062,436,1119.8,0.015,38,434.43,0.086,3
summer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9626,107.64,0.045,453,54.989,0.093,235,406.97,0.072,50,64.397,0.052,348,0,0.085,408,5141.9,0.015,380,266.4,0.073,415,40.002,0.025,247,1273.2,0.003,413,62.58,0.081,64,51.848,0.094,497,161.93,0.089,110,0,0.088,498,1190.7,0.018,413,803.44,0.031,464,0,0.028,390,0,0.003,113,0,0.082,153,0,0.048,121,0,0.018,453,0,0.082,478,0,0.023,61,0,0.08,69
12665,79.81,0.064,82,59.349,0.099,391,74.174,0.049,153,119.4,0.007,278,0,0.004,210,7672.1,0.026,16,264.81,0.051,390,39.154,0.045,385,84.031,0.07,291,73.411,0.086,460,806.67,0.083,235,264.32,0.075,173,0,0.091,412,1021.4,0.099,140,2106.7,0.049,107,0,0.033,76,0,0.053,364,0,0.089,215,0,0.098,42,0,0.013,286,0,0.003,79,0,0.015,359,0,0.04,215
14097,54.146,0.016,480,29.269,0.073,182,114.42,0.014,70,44.394,0.054,219,0,0.011,485,1477.7,0.004,252,78.219,0.085,456,32.308,0.034,213,26.507,0.099,213,20.516,0.057,455,37.482,0.023,384,31.783,0.087,151,0,0.07,145,11295,0.027,167,855.36,0.014,281,0,0.016,107,0,0.059,370,0,0.084,441,0,0.045,318,0,0.044,15,0,0.059,298,0,0.078,469,0,0.051,463
18392,5.4589,0.067,351,0,0.022,56,97.981,0.043,102,50.83,0.018,132,0,0.025,155,9768.7,0.08,302,60.219,0.093,244,30.671,0.014,438,0,0.026,464,0,0.031,268,23.793,0.041,390,0,0.087,331,0,0.09,497,0,0.079,370,8354.2,0.071,223,0,0.025,298,0,0.002,186,0,0.027,42,0,0.048,260,0,0.08,455,0,0.059,281,0,0.061,346,0,0.086,120
20939,44.512,0.078,348,46.745,0.006,215,82.012,0.1,4,56.284,0.077,379,0,0.018,214,11837,0.055,106,193.95,0.087,292,52.542,0.003,263,44.715,0.095,369,69.357,0.013,78,31.016,0.012,314,584.18,0.06,328,0,0.042,434,790.17,0.058,182,7105.7,0.058,329,0,0.022,278,0,0.028,131,0,0.036,183,0,0.031,497,0,0.062,147,0,0.019,348,0,0.056,92,0,0.089,291
,,,,,,,,,,,,,,,,,,,,,,108.67,0.053,396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,31.768,0.084,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

